name,price,package_size,serving_size,calories_per_serving,calculated_calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Added Sugars,Protein,Vitamin D,Calcium,Iron,Potassium,Polyunsaturated Fat,Monounsaturated Fat,Vitamin A,Vitamin C,Insoluble Fiber,Soluble Fiber,Thiamin,Riboflavin,Niacin,Vitamin B6,Folate,Folic Acid,Vitamin B12,Zinc,Pantothenic Acid,Phosphorus,Calories from Fat,Trans Fat 0g,† As prepared with unsalted butter and salt.,Added SugarsƗ,Ɨ One  serving adds 16g of sugar to your diet and represents  32% of the Daily Value for Added Sugars
Beef New York Strip Steak,$13.99,1 Lb,112 g,260.0,254.0,18g,7g,1g,90mg,60mg,0g,0g,0g,,23g,,,,350mg,,,,,,,,,,,,,,,,,,,,,
Beef Filet Mignon Steak,$20.99,1 Lb,112 g,280.0,277.0,21g,9g,0g,100mg,60mg,0g,0g,0g,,22g,,,,340mg,,,,,,,,,,,,,,,,,,,,,
European Grains & Seeds Bread,$3.49,16.75 Oz,52 g,120.0,117.0,5 g,0.5 g,0 g,0 mg,300 mg,14 g,4 g,2g,2g,4 g,0.1 mcg,40 mg,1.0 mg,150 mg,,,,,,,,,,,,,,,,,,,,,
Gluten Free Oatmeal Coconut Cookies,$4.99,10.58 Oz,50 g,210.0,208.0,8 g,5 g,0 g,35 mg,125 mg,31 g,2 g,15 g,13 g,3 g,0.0 mcg,30 mg,1.0 mg,120 mg,,,,,,,,,,,,,,,,,,,,,
Teensy Candy Bars,$2.99,7 Oz,33 g,170.0,169.0,9 g,3.5 g,0 g,10mg,85 mg,19 g,2g,15 g,14 g,3 g,0.0 mcg,40 mg,0.8 mg,150 mg,,,,,,,,,,,,,,,,,,,,,
Family Nijland Clover Gouda Cheese,$11.99,1 Lb,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium Green Ripe Pitted Olives,$2.49,14.35 Oz,15 g,20.0,21.5,1.5 g,0 g,0 g,0 mg,135 mg,2g,0 g,0 g,0 g,0 g,0.0 mcg,0 mg,0.0 mg,0 mg,,,,,,,,,,,,,,,,,,,,,
Organic Concord Grape Jelly,$3.49,20 Oz,20 g,50.0,52.0,0 g,0 g,0 g,0 mg,10 mg,13 g,0 g,13 g,11 g,0 g,0.0 mcg,0 mg,0.0 mg,10 mg,,,,,,,,,,,,,,,,,,,,,
Strawberry Mini Hold the Cone!,$3.99,7.9 Oz,84 g,690.0,693.0,33 g,24 g,0 g,55 mg,180 mg,90 g,4 g,53 g,47 g,9 g,0.5 mcg,130 mg,2.4 mg,350 mg,,,,,,,,,,,,,,,,,,,,,
Chicken Mole,$6.99,16 Oz,140 g,190.0,191.0,7 g,1.0 g,0 g,75 mg,530 mg,12 g,1 g,6 g,6 g,20 g,0.0 mcg,30 mg,1.7 mg,340 mg,,,,,,,,,,,,,,,,,,,,,
Kishu Kisses Seedless Kishu Mandarins,$4.99,1 Lb,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organic Sri Lankan Curry & Rice,$3.99,13.23 Oz,375 g,910.0,920.0,56 g,37 g,0 g,0 mg,750 mg,87 g,6 g,6 g,0 g,17 g,0.0 mcg,30 mg,3.5 mg,790 mg,,,,,,,,,,,,,,,,,,,,,
Crispy Potato & Poblano Pepper Tacos,$4.99,11.64 Oz,55 g,120.0,130.0,6 g,2.5 g,0 g,0 mg,180 mg,17 g,1 g,1 g,0 g,2 g,0.0 mcg,20 mg,0.8 mg,80 mg,,,,,,,,,,,,,,,,,,,,,
Spicy Chicken Nuggets,$3.99,12 Oz,79 g,170.0,179.0,11g,2.5g,0g,30mg,360mg,11g,2g,0g,0 g,9g,0mcg,20mg,0.5mg,430mg,,,,,,,,,,,,,,,,,,,,,
