name,url
Chicken Chile Verde Burritos,https://www.traderjoes.com/home/products/pdp/chicken-chile-verde-burritos-079689
Nocciolini Tiny Hazelnut Meringues,https://www.traderjoes.com/home/products/pdp/nocciolini-tiny-hazelnut-meringues-077788
Crispy Oatmeal Cookies with Sea Salt,https://www.traderjoes.com/home/products/pdp/crispy-oatmeal-cookies-with-sea-salt-078778
Chocolate Coffee Flavored Granola,https://www.traderjoes.com/home/products/pdp/chocolate-coffee-flavored-granola-079723
Avocado Mash,https://www.traderjoes.com/home/products/pdp/avocado-mash-074214
Unsalted Dry Toasted Sliced Almonds,https://www.traderjoes.com/home/products/pdp/unsalted-dry-toasted-sliced-almonds-074181
Parmigiano Reggiano Stravecchio,https://www.traderjoes.com/home/products/pdp/parmigiano-reggiano-stravecchio-086610
"Beef, Bean & Cheese Burrito",https://www.traderjoes.com/home/products/pdp/beef-bean-cheese-burrito-080584
Leaves of Little Gem Lettuce,https://www.traderjoes.com/home/products/pdp/leaves-of-little-gem-lettuce-080012
Premium Extra Virgin Olive Oil Cold Pressed,https://www.traderjoes.com/home/products/pdp/premium-extra-virgin-olive-oil-cold-pressed-078941
Crispy Dried Watermelon,https://www.traderjoes.com/home/products/pdp/crispy-dried-watermelon-076897
Shredded Potato Hash Browns,https://www.traderjoes.com/home/products/pdp/shredded-potato-hash-browns-096969
Yellow Mini Sheet Cake,https://www.traderjoes.com/home/products/pdp/yellow-mini-sheet-cake-080742
Sweetheart White Stilton Cheese,https://www.traderjoes.com/home/products/pdp/sweetheart-white-stilton-cheese-080723
Lentils,https://www.traderjoes.com/home/products/pdp/lentils-077299
Pearled Couscous,https://www.traderjoes.com/home/products/pdp/pearled-couscous-092835
Miso Instant Ramen Soup,https://www.traderjoes.com/home/products/pdp/miso-instant-ramen-soup-060411
Sliced Shiitake Mushrooms,https://www.traderjoes.com/home/products/pdp/sliced-shiitake-mushrooms-079900
Handheld Chicken Pot Pies,https://www.traderjoes.com/home/products/pdp/handheld-chicken-pot-pies-076360
Dark Chocolate Bark,https://www.traderjoes.com/home/products/pdp/dark-chocolate-bark-078299
GoMacro® Timeless Treasure Salted Caramel + Chocolate Chips,https://www.traderjoes.com/home/products/pdp/gomacro-timeless-treasure-salted-caramel-chocolate-chips-081417
Soft Pretzel Twists,https://www.traderjoes.com/home/products/pdp/soft-pretzel-twists-076395
Cheesy Bagels,https://www.traderjoes.com/home/products/pdp/cheesy-bagels-079365
Sandwich Rolls,https://www.traderjoes.com/home/products/pdp/sandwich-rolls-078138
70% Peruvian Cacao Dark Chocolate Bar,https://www.traderjoes.com/home/products/pdp/70-peruvian-cacao-dark-chocolate-bar-078684
Yangnyeom Sauce,https://www.traderjoes.com/home/products/pdp/yangnyeom-sauce-079548
Organic Spaghetti Triangoletti Pasta,https://www.traderjoes.com/home/products/pdp/organic-spaghetti-triangoletti-pasta-078105
Shishito Peppers,https://www.traderjoes.com/home/products/pdp/shishito-peppers-080336
Teeny Tiny Tomatoes,https://www.traderjoes.com/home/products/pdp/teeny-tiny-tomatoes-067942
Homestyle Angus Beef Meatballs,https://www.traderjoes.com/home/products/pdp/homestyle-angus-beef-meatballs-081242
